B     B-V     U-B     V-I     V-K     Mv   CL Typ    Teff   logg  Pop  Age     Mass   Mbol    Radius   [M/H]    [a/Fe]  longitude   latitude   RAJ2000     DECJ2000   Dist     x_Gal    y_Gal    z_Gal     Av       errMv     errMass     errAge     errTeff    errLogg    errMet     errAlphaFe     errBand_B  errBand_U  errBand_V  errBand_I  errBand_K                                                                             
  19.283  1.500   1.193   2.505   4.814  11.72  5 7.30    3351.  4.85   3  1.6066  0.401    9.859    0.282   0.047   0.006    97.474457   59.657906  214.049850   53.078606   0.1590  -8.0104   0.0796   0.1522   0.063    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0499     0.0090    -0.0027     0.0129    -0.0120
  19.238  1.637   1.216   2.369   4.613  11.81  5 7.30    3417.  4.88   6  6.0618  0.115    9.739    0.293  -0.329   0.016    96.796387   59.463921  214.694733   53.005672   0.1408  -8.0085   0.0710   0.1362   0.064    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0078    -0.0131    -0.0188    -0.0206    -0.0367
  15.325  1.322   1.351   1.542   3.203   8.02  5 6.70    4102.  4.70   5  4.0026  0.805    7.207    0.628   0.041  -0.020    97.198341   59.437824  214.463821   53.157936   0.1512  -8.0096   0.0763   0.1452   0.064    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0106     0.0490     0.0164     0.0054     0.0068
  12.213  0.783   0.452   0.933   2.062   5.68  5 6.00    5077.  4.87   7  8.5928  0.959    5.464    0.904  -0.432   0.042    95.499779   59.567940  215.394791   52.491978   0.1357  -8.0066   0.0684   0.1320   0.065    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0224    -0.0065     0.0230    -0.0271     0.0219
  16.326  1.314   1.144   1.703   3.451   8.99  5 6.95    3918.  4.70   8 10.1253  0.359    8.012    0.468  -0.290   0.238    96.525192   59.622437  214.695709   52.795853   0.1519  -8.0087   0.0763   0.1460   0.064    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0125     0.0028     0.0547     0.0122     0.0100
  12.392  0.668   0.137   0.806   1.735   5.65  5 5.40    5566.  4.33   8 10.0277  0.853    5.438    0.778  -0.248   0.204    97.280190   59.590046  214.247757   53.068024   0.1570  -8.0101   0.0788   0.1504   0.067    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0015    -0.0277     0.0278     0.0030     0.0292
  22.812  1.733   1.425   3.046   5.684  14.69  5 7.50    3116.  5.06   7  8.3020  0.116   11.756    0.139   0.058   0.017    96.803131   60.192436  213.911667   52.452583   0.1859  -8.0109   0.0918   0.1763   0.066    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0227    -0.0112    -0.0219    -0.0076    -0.0014
  22.284  1.704   1.389   3.037   5.658  14.32  5 7.45    3069.  4.98   5  4.0802  0.175   11.445    0.158   0.051   0.003    96.397827   59.171051  215.269836   53.092937   0.1694  -8.0097   0.0863   0.1604   0.072    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0144    -0.0124     0.0406     0.0070     0.0115
  21.802  1.727   1.336   2.951   5.566  13.93  5 7.45    3190.  5.10   5  4.0423  0.092   11.134    0.179  -0.175   0.052    96.469391   59.290947  215.092255   53.027130   0.1628  -8.0094   0.0826   0.1550   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0409    -0.0112     0.0184     0.0070    -0.0228
  21.264  1.743   1.419   2.853   5.273  13.42  5 7.45    3104.  5.08   6  5.9074  0.265   10.906    0.196  -0.319   0.038    96.301918   59.694462  214.758163   52.667492   0.1641  -8.0091   0.0823   0.1566   0.068    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0215    -0.0064    -0.0461    -0.0266     0.0515
  20.207  1.687   1.295   2.549   4.958  12.40  5 7.35    3291.  5.07   5  4.0655  0.156   10.232    0.249  -0.326   0.041    96.970856   59.464855  214.581619   53.062580   0.1641  -8.0101   0.0827   0.1563   0.064    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0111    -0.0003    -0.0249     0.0269    -0.0303
  20.561  1.507   1.255   2.706   5.072  12.64  5 7.35    3276.  4.95   2  0.1255  0.281   10.234    0.249   0.273   0.069    97.169281   59.539669  214.373337   53.070538   0.1847  -8.0117   0.0929   0.1742   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0214    -0.0151     0.0056    -0.0212     0.0191
  19.235  1.581   1.218   2.295   4.451  11.29  5 7.25    3522.  4.74   5  3.8609  0.326    9.440    0.322  -0.385   0.011    96.333427   60.037048  214.369232   52.419167   0.1802  -8.0099   0.0895   0.1711   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0009     0.0056     0.0112    -0.0006    -0.0010
  19.159  1.488   1.113   2.327   4.465  11.28  5 7.25    3475.  4.85   6  5.7769  0.476    9.501    0.316   0.169  -0.033    96.802101   60.119762  213.989090   52.507874   0.1829  -8.0108   0.0905   0.1736   0.065    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0379    -0.0196     0.0127     0.0133     0.0094
  18.714  1.519   1.247   2.267   4.390  10.90  5 7.25    3552.  4.74   5  3.8917  0.553    9.269    0.339  -0.471   0.049    96.075302   60.018524  214.548615   52.348583   0.1732  -8.0092   0.0861   0.1650   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0375     0.0096     0.0334     0.0066    -0.0257
