#Object	RA	e_RA	Dec	e_Dec	Distance	e_Distance	FeH	e_FeH	Parallax	e_Parallax	Teff_J-PLUS_W	e_Teff_J-PLUS_W	Teff_J-PLUS_Y	e_Teff_J-PLUS_Y	Teff_LAMOST	e_Teff_LAMOST	Tspec	e_Tspec	logg	e_logg
1607986934730322176	215.2904759	4.138888888888889e-09	52.93148657	4.5277777777777775e-09	1601.63513	43.15154999999993	nan	0	0.6111	0.0184	5078.86751	0	5008.7788	0	4942.12	0	nan	0	nan	0
1608039505129998848	214.9789328	6.9166666666666666e-09	53.11664397	7.416666666666667e-09	1548.5094	62.69439999999997	-0.4744	0	0.6214	0.0306	5551.998141	0	5509.7212	0	nan	nan	5467.7808	0	4.5694	0
1607892754688419968	214.3566133	6e-09	52.19836678	5.888888888888889e-09	676.046997	12.770538499999986	-0.1173	0	1.4493	0.0257	4721.117456	0	4585.2266	0	nan	nan	4673.3354	0	4.6193	0
1608102108574147584	213.8234614	6.583333333333333e-09	52.47955967	6.6944444444444446e-09	1235.78052	47.58600000000001	nan	0	0.7817	0.0292	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1607986002721722496	215.3299233	4.2027777777777776e-08	52.89028334	4.1888888888888885e-08	1095.09937	173.01379500000002	nan	0	0.8909	0.1753	nan	nan	6300.4497	0	nan	nan	nan	0	nan	0
1607982399244872448	215.3708594	5.555555555555556e-08	52.8324201	5.677777777777778e-08	704.846924	131.131714	nan	0	1.4922	0.2317	nan	nan	82069.7656	0	nan	nan	nan	0	nan	0
1608039505129998976	214.975284	6.944444444444445e-09	53.12377311	7.111111111111112e-09	1501.67944	64.13091999999995	-0.8782	0	0.6353	0.0298	5379.546708	0	5334.668	0	5291.74	0	5107.502	0	4.3621	0
1608103031990829312	213.7886468	4.766666666666667e-08	52.52158336	5.2305555555555555e-08	615.273376	69.59375	-0.0118	0	1.626	0.218	nan	nan	nan	nan	nan	nan	3356.7405	0	4.5921	0
1608103036287083776	213.7902114	3.555555555555556e-09	52.51850544	3.7777777777777774e-09	897.602112	13.141541000000018	-1.2244	0	1.0847	0.0161	nan	nan	nan	nan	5934.37	0	6123.7686	0	4.4014	0
1608039676928691200	214.9950284	5.583333333333333e-09	53.11780663	5.638888888888888e-09	3099.90088	197.71838500000013	-0.6154	0	0.2973	0.0235	5873.787631	0	5782.3296	0	nan	nan	5692.4419	0	4.1215	0
1607895533530372352	214.2535574	4.163888888888889e-08	52.21498353	3.9972222222222224e-08	557.779541	60.430709500000006	nan	0	1.8382	0.1709	nan	nan	58203.4648	0	nan	nan	nan	0	nan	0
1607909590960184576	214.0302778	6.519444444444444e-08	52.29915887	6e-08	743.137512	133.71716350000003	nan	0	1.3929	0.2641	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1608034522967949440	215.2224182	3.638888888888889e-09	53.00409246	3.805555555555556e-09	405.289825	2.3728024999999775	nan	0	2.4413	0.0157	4697.238635	0	nan	nan	4742.58	0	nan	0	nan	0
1608102001198464768	213.8283707	2.438888888888889e-08	52.45443606	2.502777777777778e-08	936.511292	85.40231299999999	-0.9964	0	1.0624	0.1075	4262.200199	0	nan	nan	nan	nan	3916.7107	0	4.8088	0
1607889417497736832	213.9440387	8.119444444444445e-08	52.34747333	7.95e-08	460.661957	83.64958200000004	nan	0	2.218	0.3504	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1607895636609579904	214.2865153	8.833333333333333e-08	52.20174027	8.086111111111111e-08	341.485596	60.33848550000002	nan	0	2.9492	0.3526	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1607985732139494400	215.3648179	3.694444444444444e-09	52.86773668	3.916666666666666e-09	152.871231	0.37977599999999256	-0.5101	0	6.5022	0.0162	3762.793341	0	nan	nan	nan	nan	3625.679	0	4.4396	0
1607885844084940160	214.0510829	5.391666666666666e-08	52.28066661	5.100000000000001e-08	235.429565	14.148590499999997	nan	0	4.2498	0.2186	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1608051565398151552	214.89385	5.305555555555555e-09	53.15635016	5.7222222222222225e-09	934.057922	20.578277500000013	-0.7937	0	1.0358	0.0234	5508.922462	0	nan	nan	nan	nan	5275.7021	0	4.4911	0
1607885844084939904	214.0524931	2.047222222222222e-08	52.27886617	1.9444444444444445e-08	816.459839	56.30621299999996	-1.59	0	1.196	0.0842	4055.020505	0	3990.7803	0	nan	nan	3678.8835	0	4.3677	0
1608039638273550720	215.0285043	1.8805555555555553e-08	53.11729802	1.9111111111111112e-08	1364.02454	141.6178	-0.5416	0	0.7125	0.0821	4571.916407	0	4636.5752	0	nan	nan	4423.7305	0	4.4509	0
1607895537827207680	214.2549762	3.469444444444444e-08	52.20273369	3.2055555555555556e-08	320.905304	12.983825999999993	-0.7837	0	3.129	0.1411	nan	nan	58685.0586	0	nan	nan	3306.4429	0	4.6894	0
1608038714856030464	215.096937	9.194444444444443e-09	53.0910809	9.972222222222223e-09	585.19574	11.331939499999976	0.2786	0	1.683	0.0404	4011.261049	0	nan	nan	nan	nan	4194.7349	0	4.5503	0
1608052351376776192	214.8302515	6.416666666666667e-08	53.17452869	6.224999999999999e-08	515.027832	56.913253999999995	nan	0	1.9626	0.2535	nan	nan	116525.4062	0	nan	nan	nan	0	nan	0
1607889387434009984	213.9443022	1.886111111111111e-08	52.33393737	1.8805555555555553e-08	1450.88831	204.04192999999998	0.0038	0	0.6906	0.0823	4243.940998	0	4009.3633	0	nan	nan	4209.8315	0	4.6515	0
