#Object	Effective temperature	Luminosity	Radius	Chi^2
#Name	Kelvin	Solar luminosities	Solar Radii	
1608002534051520768	3159.4929966470227	0.03128432555090094	0.5837109747331478	2.3395951280815675e-05
1608004247742692608	5233.496184120886	0.5132279612141909	0.9221247257476367	2.735447492153982e-06
1608003977160533376	5499.950293901202	0.7370717172384306	0.9751497853116434	1.72228477976632e-06
1608003904145283968	3636.18307903409	0.09258880728527369	0.8441544959573215	2.750568293652986e-05
1608003118167073792	3190.7550138894294	0.00881511067727283	0.32364486577585416	4.804133966061463e-05
1608003113872633728	3099.714057445526	0.006766806873482157	0.2852329016856596	8.597935206386688e-05
1608015964413482880	3111.884438339621	0.03977270829761231	0.6713229704170158	2.8769050442256327e-05
1608001640698323712	3981.1005176361505	0.0777346723994795	0.5924617010978639	9.265395802595407e-06
1608013941484658688	3682.313265951816	0.04257574920098959	0.5533578254535568	1.5228408869067564e-05
1608002190454136576	4717.0492599727	0.6727156233755144	1.2670974602364542	4.0045172356077185e-06
1608003152526812416	2875.9936843067408	0.005041245817898794	0.31695042961866765	0.0001465666062071866
1608014005908364928	3029.3753731664037	0.012524887386074931	0.5073069025430429	0.00012516957776128796
1608013975844411136	5235.508392500924	0.36226531816095514	0.7366643889012907	1.3742227406832268e-05
1608001911280423680	3189.663452655077	0.006875172487964938	0.27064736306986864	3.781849746748086e-05
1608003285670007808	3777.2655809065327	0.12026532777602514	0.8679997107639813	1.985232359226368e-05
1608004694419302528	4620.3411016613245	0.09218922090648436	0.5078596067517774	1.6506395740995882e-05
1608013975844396928	5592.91413327679	2.8721000079259578	1.812563451972598	3.7126057585429436e-06
1608004419541554944	2879.956607222557	0.003299659974367298	0.3893086002858783	0.00017714837772562567
1608004492556609408	4145.593988522887	0.1548378677823734	0.7717861597470759	1.5837971071479552e-05
1608014182002826752	6859.408522769809	1.0719780772041545	0.7988978217527901	0.00012832878676861462
1608004767434516480	3500.53604787332	0.039003296813393575	0.6446497273596065	1.3496329660107061e-05
1608014078923611520	4663.656094670296	64.83931268632104	13.140944913419052	0.0002517644265853685
