# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Mar  2 17:06:49 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.02 0.14251 9.84510 0.0900000036 1.0816895926    0.090 -3.437  3.3544  5.199    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.85e-17      0.00 6.952e-01 2.848e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 13.363 22.395 19.939 18.141 16.047 13.823 11.270 10.662 10.353
0.02 0.14251 9.84510 0.1000000015 1.1711064122    0.100 -3.265  3.3780  5.167    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.64e-17      0.00 6.950e-01 2.850e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.932 21.904 19.483 17.694 15.611 13.393 10.840 10.234 9.922
0.02 0.14251 9.84510 0.1028894559 1.1947994715    0.103 -3.226  3.3829  5.159    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.14e-17      0.00 6.949e-01 2.851e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.834 21.792 19.379 17.592 15.512 13.295 10.742 10.136 9.824
0.02 0.14251 9.84510 0.1200000048 1.3193154741    0.120 -3.014  3.4094  5.120    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.68e-17      0.00 6.944e-01 2.856e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.304 21.188 18.818 17.043 14.976 12.765 10.214 9.609 9.292
0.02 0.14251 9.84510 0.1400000006 1.4384526719    0.140 -2.827  3.4312  5.087    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-16      0.00 6.939e-01 2.861e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.837 19.900 17.792 16.079 14.185 12.096 9.778 9.174 8.857
0.02 0.14251 9.84510 0.1599999964 1.5372931554    0.160 -2.683  3.4460  5.060    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-16      0.00 6.935e-01 2.865e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.476 18.821 16.916 15.270 13.529 11.553 9.450 8.845 8.534
0.02 0.14251 9.84510 0.2000000030 1.6938790862    0.200 -2.466  3.4648  5.016    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.99e-16      0.00 6.927e-01 2.873e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.934 17.445 15.768 14.185 12.626 10.810 8.952 8.345 8.043
0.02 0.14251 9.84510 0.2500000000 1.8403257998    0.250 -2.258  3.4811  4.970    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.55e-16      0.00 6.920e-01 2.880e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.414 16.314 14.790 13.257 11.833 10.150 8.469 7.859 7.569
0.02 0.14251 9.84510 0.3082551062 1.9691563366    0.308 -2.062  3.4948  4.920    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.79e-16      0.00 6.924e-01 2.876e-01 3.596e-03 9.703e-04 8.799e-03 -1.000 2.000e-02 9.926 15.394 13.968 12.464 11.135 9.569 8.014 7.399 7.122
0.02 0.14251 9.84510 0.3346371055 2.0174946563    0.335 -1.982  3.4994  4.895    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.07e-16      0.00 6.947e-01 2.853e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.726 15.057 13.663 12.174 10.876 9.342 7.824 7.207 6.934
0.02 0.14251 9.84510 0.3500000238 2.0434175133    0.350 -1.938  3.5020  4.880    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.9e-16      0.00 6.957e-01 2.843e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.615 14.876 13.498 12.017 10.734 9.218 7.719 7.100 6.830
0.02 0.14251 9.84510 0.4000000358 2.1185024810    0.400 -1.795  3.5133  4.840    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.21e-15      0.00 6.959e-01 2.841e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.258 14.249 12.918 11.465 10.244 8.805 7.389 6.761 6.502
0.02 0.14251 9.84510 0.4500000179 2.1822809362    0.450 -1.649  3.5256  4.794    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.69e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.892 13.637 12.337 10.910 9.748 8.389 7.054 6.414 6.166
0.02 0.14251 9.84510 0.5000000000 2.2374541529    0.500 -1.498  3.5396  4.746    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.515 13.031 11.743 10.346 9.243 7.963 6.711 6.057 5.821
0.02 0.14251 9.84510 0.5500000119 2.2836582633    0.550 -1.333  3.5575  4.693    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.55e-15      0.00 7.118e-01 2.692e-01 3.420e-03 9.228e-04 8.371e-03 -1.000 1.904e-02 8.102 12.393 11.084 9.706 8.667 7.499 6.345 5.673 5.453
0.02 0.14251 9.84510 0.6000000238 2.3211213258    0.600 -1.167  3.5806  4.657    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.18e-15      0.00 7.142e-01 2.669e-01 3.394e-03 9.160e-04 8.310e-03 -1.000 1.888e-02 7.688 11.743 10.377 9.008 8.038 7.034 5.995 5.304 5.110
0.02 0.14251 9.84510 0.6435812116 2.3483748294    0.643 -1.019  3.6054  4.639    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.19e-15      0.00 7.161e-01 2.651e-01 3.375e-03 9.108e-04 8.263e-03 -1.000 1.878e-02 7.317 11.144 9.715 8.381 7.470 6.629 5.687 4.987 4.829
0.02 0.14251 9.84510 0.6499999762 2.3520353107    0.650 -0.998  3.6089  4.636    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -7.53e-15      0.00 7.164e-01 2.649e-01 3.372e-03 9.100e-04 8.256e-03 -1.000 1.878e-02 7.264 11.059 9.620 8.294 7.392 6.572 5.643 4.943 4.791
0.02 0.14251 9.84510 0.7000000477 2.3779267258    0.700 -0.832  3.6387  4.622    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-14      0.00 7.184e-01 2.629e-01 3.351e-03 9.046e-04 8.207e-03 -1.000 1.869e-02 6.851 10.267 8.834 7.603 6.778 6.135 5.304 4.629 4.519
0.02 0.14251 9.84510 0.7019158006 2.3788347109    0.702 -0.826  3.6400  4.622    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-14      0.00 7.185e-01 2.629e-01 3.348e-03 9.043e-04 8.206e-03 -1.000 1.869e-02 6.835 10.231 8.802 7.576 6.754 6.118 5.292 4.618 4.509
0.02 0.14251 9.84510 0.7500000000 2.3998889087    0.750 -0.669  3.6701  4.614    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-14      0.00 7.203e-01 2.612e-01 3.286e-03 8.981e-04 8.161e-03 -1.000 1.855e-02 6.442 9.181 8.011 6.926 6.212 5.704 4.986 4.398 4.312
