# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Mar  2 17:05:21 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.02 0.14251 9.90309 0.0900000036 1.0816895926    0.090 -3.437  3.3545  5.199    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.86e-17      0.00 6.951e-01 2.849e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 13.363 22.395 19.939 18.140 16.046 13.823 11.269 10.661 10.353
0.02 0.14251 9.90309 0.1000000015 1.1711064122    0.100 -3.265  3.3780  5.167    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.64e-17      0.00 6.948e-01 2.852e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.932 21.903 19.482 17.694 15.610 13.392 10.840 10.233 9.921
0.02 0.14251 9.90309 0.1019649804 1.1873139933    0.102 -3.238  3.3814  5.162    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.98e-17      0.00 6.947e-01 2.853e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.865 21.827 19.411 17.624 15.543 13.325 10.773 10.166 9.854
0.02 0.14251 9.90309 0.1200000048 1.3193154741    0.120 -3.013  3.4095  5.120    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.69e-17      0.00 6.942e-01 2.858e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 12.304 21.188 18.817 17.043 14.975 12.764 10.213 9.608 9.292
0.02 0.14251 9.90309 0.1400000006 1.4384526719    0.140 -2.826  3.4313  5.087    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-16      0.00 6.936e-01 2.864e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.836 19.896 17.788 16.076 14.183 12.094 9.777 9.173 8.856
0.02 0.14251 9.90309 0.1599999964 1.5372931554    0.160 -2.682  3.4460  5.060    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-16      0.00 6.931e-01 2.869e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 11.475 18.817 16.912 15.267 13.526 11.551 9.449 8.844 8.533
0.02 0.14251 9.90309 0.2000000030 1.6938790862    0.200 -2.465  3.4648  5.015    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -3e-16      0.00 6.922e-01 2.878e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.932 17.439 15.763 14.181 12.622 10.807 8.950 8.343 8.041
0.02 0.14251 9.90309 0.2500000000 1.8403257998    0.250 -2.255  3.4811  4.968    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-16      0.00 6.915e-01 2.885e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.408 16.305 14.782 13.249 11.826 10.144 8.463 7.853 7.564
0.02 0.14251 9.90309 0.3093049824 1.9711814738    0.309 -2.056  3.4950  4.917    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.9e-16      0.00 6.921e-01 2.879e-01 3.596e-03 9.703e-04 8.799e-03 -1.000 2.000e-02 9.911 15.372 13.948 12.445 11.117 9.553 7.999 7.384 7.107
0.02 0.14251 9.90309 0.3364608586 2.0206521658    0.336 -1.975  3.4998  4.891    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.22e-16      0.00 6.947e-01 2.853e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.708 15.028 13.637 12.150 10.853 9.323 7.807 7.189 6.917
