#Object	Effective temperature	Luminosity	Radius	Chi^2
#Name	Kelvin	Solar luminosities	Solar Radii	
1608002534051520768	3159.395128302276	0.03125925604822204	0.5834746263804811	2.339706790436921e-05
1608004247742692608	5233.496184120886	0.5132279612141909	0.9221247257476367	2.734937548029974e-06
1608003977160533376	5499.950293901202	0.7370717172384306	0.9751497853116434	1.7222774911188156e-06
1608003904145283968	3636.6705833072774	0.09247884627572998	0.8415493086498596	2.695701819178083e-05
1608003118167073792	3190.7550138894294	0.00881511067727283	0.32364486577585416	4.7844526374663615e-05
1608003113872633728	3099.714057445526	0.006766806873482157	0.2852329016856596	8.514350004677468e-05
1608015964413482880	3111.884438339621	0.03977270829761231	0.6713229704170158	2.8559823427974652e-05
1608001640698323712	3981.1005176361505	0.0777346723994795	0.5924617010978639	9.264913621508374e-06
1608013941484658688	3682.463046312332	0.04256727813091391	0.5534535138009026	1.5016299149370348e-05
1608002190454136576	4717.0492599727	0.6727156233755144	1.2670974602364542	4.0044598693819335e-06
1608003152526812416	2875.6718782894313	0.005033297117992888	0.31460629533852086	0.0001427440856148793
1608014005908364928	3029.3753731664037	0.012524887386074931	0.5073069025430429	0.000123565301809083
1608013975844411136	5235.463406032068	0.36226356972704055	0.7366771964190784	1.3612755221191217e-05
1608001911280423680	3189.613152742386	0.00687219114390425	0.27058315159536167	3.771110124279935e-05
1608003285670007808	3778.3025500178337	0.12016280454567534	0.8612457371633806	1.920242735541129e-05
1608004694419302528	4620.087782852352	0.09218963279758097	0.5079242076877657	1.6398597099643317e-05
1608013975844396928	5592.91413327679	2.8721000079259578	1.812563451972598	3.71261299545776e-06
1608004419541554944	2881.5407536545536	0.003285598092058241	0.36982149674020326	0.00017164232452154918
1608004492556609408	4145.708896443248	0.15482260070662546	0.7717130349254787	1.579013256164333e-05
1608014182002826752	6859.408522769809	1.0719780772041545	0.7988978217527901	0.00012829832545827632
1608004767434516480	3500.575551390648	0.03900305054883979	0.644626939019058	1.3459906393769237e-05
1608014078923611520	4663.656094670296	64.83931268632104	13.140944913419052	0.00025146935721704386
1608001876920678016	3645.701330434531	0.06884143730936201	0.7240863660034641	1.5515872511054474e-05
1608016381026068736	3084.651951416163	0.01714613067013411	0.4894466243119095	4.131620067626674e-05
1608003702282627200	5795.2520450923475	1.967353034838524	1.3982403224311373	1.3590196947826738e-06
1608016136212198912	3895.487508252263	0.011858220286075562	0.3269214313805085	2.6126438166420986e-05
1608003599203411712	5030.298959696665	0.1429521370971871	0.5575850616887182	1.1592510154728608e-05
1608016209227377536	3303.594102814095	0.04305415963649754	0.6757436977711293	3.655525089366688e-05
1608001365820431232	4346.905470197089	0.17593797989613955	0.796819755140784	5.570916379342617e-06
1608004797498534784	4251.929456801154	0.08985058363780524	0.6126565330150684	1.560092895802769e-05
1608015453313132544	4863.136556129903	0.2832197993561074	0.7579017755128767	2.9071352055768635e-06
1608016518465023104	5852.3333543445915	1.5976584416981394	1.2893238264228302	1.3566790823681248e-06
1608001194021738368	5180.727463228177	0.48449548229441025	0.8867989987119638	2.276654519402222e-06
1608003805361842560	5587.869487126591	0.9613700275890662	1.0558632937181283	2.114688280699919e-06
1608016552824761856	3080.944421257591	0.011741939679140192	0.4163171583087318	6.731700858780258e-05
1607999819632204928	3791.0998743772507	0.08149401719266851	0.6683897448560255	1.1460867880969143e-05
1608017102580574336	4446.872681379318	0.19898536059618804	0.8015848578488358	1.1118653298308372e-05
1608004595635825152	3280.831285624299	0.036516644774714654	0.5923114721345711	2.542370357756515e-05
1608001159662000512	3321.3586017582566	0.03775220026106104	0.5819203302718986	0.00011702086256393262
1608001262741215744	5700.13586351939	0.740191156935374	1.0170975330591019	1.907574850698436e-05
1608001022223045888	4141.752188222017	0.13337621261203703	0.7172655340239229	5.611973880179961e-06
1608016621544238464	5383.7755412911065	0.4850621827689359	0.8286552501822978	2.2642349118942575e-05
1607921032753054592	5205.556002706289	0.7006732131081966	1.241059673268901	3.1289373360039676e-06
1608000816064616064	4084.8622856335714	0.15057197329106478	0.7842477419349296	7.915276130269027e-06
1608017102580574592	6645.717523824424	1.1997494695177324	0.9286919022203355	0.0001046508405644343
1608000816064615936	5048.035634616972	0.3678876955425699	0.7974047644384628	3.1871363612170315e-06
1608016827702668928	5955.873900690494	1.6720415864868687	1.4443079036518944	6.520799870262757e-05
1608016857766733440	3117.021826431155	0.010180352104965745	0.4260705949488499	2.8898241209200627e-05
1608010535574860800	3499.953822430107	0.0033936953050740532	0.5787977634898961	8.643560913018948e-05
1608000884784092032	4620.615478344262	0.24061101773874538	0.864237839816594	4.1174535159498755e-06
1608017171300420096	2918.5452929197345	0.0022483901444138236	0.40953434226102525	9.7522654070786e-05
1608016823407002112	3092.140577476239	0.01949738594651178	0.5002379931741419	8.146294146643374e-05
1607907804251759360	3078.9761753211496	0.003818498912116707	0.2404461271097978	4.391038099197122e-05
1607921067112792576	5435.193886829256	1.2824608556938226	1.484358751054325	1.1773731801783625e-06
1608016754687523968	3699.720362019434	0.014788776203741128	0.39450831558508626	8.65892927606377e-05
1608016930781884160	2925.7156270276755	0.002391853999691929	0.35968538904108044	0.00014200319586808963
1608016896422160640	4520.678978668875	0.2070382093799978	0.895209321457748	7.935232185617171e-06
1607999712257163520	3148.848612693837	0.01579672581209264	0.4606794272221724	4.6199940148205715e-05
1608000674329794176	2839.1440142149804	0.0018512613871674926	0.22284194940299615	0.00010195201075706949
1608017377458481920	4716.757195671089	0.31789581617569224	0.8937723765289431	5.894038527973035e-06
1608009401708204416	3053.9175245258957	0.01907137748507717	0.5150732695939856	4.259633845688091e-05
1607998067285891200	6041.625543520786	0.48044327568174866	0.6377106397449668	8.544359533093431e-06
1607919654067153664	3944.147135615349	0.0829356158478936	0.7125147992221291	8.628692469351479e-06
1607907048339566720	4597.587500149384	0.24021616613592922	0.7853283078478313	4.541059905827061e-06
1608010849108193536	5663.870944979135	2.2828769339458748	1.5760417347506865	2.6005318906211146e-06
1607997792407652224	3995.5990214645863	0.1304728652029788	0.762957082917315	9.68036953440021e-06
1608018747552465920	2903.0139327049255	0.0027787545795582916	0.4287535932224591	0.00011375157749285275
1607907941692748416	3732.539584650658	0.16356535896404528	0.9757953744484636	8.735639291656754e-06
1608018713192582784	3099.1338796913624	0.01001291305655067	0.34599771738533225	3.689040396915053e-05
